상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
[유통기한 25.06.03] 한입뚝딱 치즈소시지 255g,한입뚝딱,"6,900원",무료배송,"4.9
(7)",,https://dogpre.com/product/104529,https://img.funnc.com/mobile/dogpre/product/105/104529_list_L1_01009815.jpg,"한입뚝딱
[유통기한 25.06.03] 한입뚝딱 치즈소시지 255g
6,900원
무료배송
4.9
(7)"
러비더비 치즈 소세지대장 11개입,러비더비,"1,800원",대통령배송,"4.6
(11,661)",,https://dogpre.com/product/22891?bundleOptionId=158209,https://img.funnc.com/mobile/dogpre/product/23/22891_list_L1_9532.png,"러비더비
러비더비 치즈 소세지대장 11개입
1,800원
4개 구매 시 개당 1,700원
대통령배송
4.6
(11,661)"
굿데이 건강한 소시지 오리고기 100g,굿데이,"2,900원",대통령배송,"4.6
(5)",,https://dogpre.com/product/105450,https://img.funnc.com/mobile/dogpre/product/106/105450_list_L1_01750488.png,"굿데이
굿데이 건강한 소시지 오리고기 100g
2,900원
대통령배송
4.6
(5)"
굿데이 건강한 소시지 소고기 100g,굿데이,"2,900원",대통령배송,"5
(1)",,https://dogpre.com/product/105449,https://img.funnc.com/mobile/dogpre/product/106/105449_list_L1_01683081.png,"굿데이
굿데이 건강한 소시지 소고기 100g
2,900원
대통령배송
5
(1)"
굿데이 건강한 소시지 닭고기 100g,굿데이,"2,900원",대통령배송,"5
(1)",,https://dogpre.com/product/105448,https://img.funnc.com/mobile/dogpre/product/106/105448_list_L1_01755978.png,"굿데이
굿데이 건강한 소시지 닭고기 100g
2,900원
대통령배송
5
(1)"
러비더비 치즈 소세지대장 11개입 4묶음,러비더비,"6,800원",대통령배송,"4.6
(11,661)",,https://dogpre.com/product/22891?bundleOptionId=158210,https://img.funnc.com/mobile/dogpre/product/92/91828_list_L1_5503.png,"러비더비
러비더비 치즈 소세지대장 11개입 4묶음
6,800원
대통령배송
4.6
(11,661)"
