상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
진짜육포 소고기 180g 3묶음,진짜육포,"18,300원",대통령배송,"4.9
(387)",,https://dogpre.com/product/105832?bundleOptionId=277322,https://img.funnc.com/mobile/dogpre/product/107/106057_list_L1_1750.png,"진짜육포
진짜육포 소고기 180g 3묶음
18,300원
대통령배송
4.9
(387)"
안심져키 양고기 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(4)",,https://dogpre.com/product/105890,https://img.funnc.com/mobile/dogpre/product/106/105890_list_L1_01406198.jpg,"안심져키
안심져키 양고기 슬라이스 300g
2,000원
대통령배송
5
(4)"
안심져키 소고기 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105887,https://img.funnc.com/mobile/dogpre/product/106/105887_list_L1_01747393.jpg,"안심져키
안심져키 소고기 슬라이스 300g
2,000원
대통령배송
5
(3)"
안심져키 치킨 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105883,https://img.funnc.com/mobile/dogpre/product/106/105883_list_L1_01289735.jpg,"안심져키
안심져키 치킨 슬라이스 300g
2,000원
대통령배송
5
(3)"
안심져키 오리 슬라이스 300g,안심져키,"2,000원",대통령배송,"5
(2)",,https://dogpre.com/product/105880,https://img.funnc.com/mobile/dogpre/product/106/105880_list_L1_01368800.jpg,"안심져키
안심져키 오리 슬라이스 300g
2,000원
대통령배송
5
(2)"
진짜육포 오리고기 180g,진짜육포,"6,500원",대통령배송,"4.8
(291)",,https://dogpre.com/product/105831?bundleOptionId=278291,https://img.funnc.com/mobile/dogpre/product/106/105831_list_L1_01244902.png,"진짜육포
진짜육포 오리고기 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
4.8
(291)"
진짜육포 양고기 180g,진짜육포,"6,500원",대통령배송,"4.8
(255)",,https://dogpre.com/product/105830?bundleOptionId=282231,https://img.funnc.com/mobile/dogpre/product/106/105830_list_L1_01823667.png,"진짜육포
진짜육포 양고기 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
4.8
(255)"
진짜육포 황태 180g,진짜육포,"6,500원",대통령배송,"4.8
(233)",,https://dogpre.com/product/105829?bundleOptionId=278286,https://img.funnc.com/mobile/dogpre/product/106/105829_list_L1_01150325.png,"진짜육포
진짜육포 황태 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
4.8
(233)"
진짜육포 연어 180g,진짜육포,"6,500원",대통령배송,"4.8
(265)",,https://dogpre.com/product/105828?bundleOptionId=278049,https://img.funnc.com/mobile/dogpre/product/106/105828_list_L1_01286795.png,"진짜육포
진짜육포 연어 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
4.8
(265)"
진짜육포 닭고기 180g,진짜육포,"6,500원",대통령배송,"5
(3)",,https://dogpre.com/product/105594?bundleOptionId=277323,https://img.funnc.com/mobile/dogpre/product/106/105594_list_L1_01754579.png,"진짜육포
진짜육포 닭고기 180g
6,500원
3개 구매 시 개당 6,100원
대통령배송
5
(3)"
굿데이 더네이쳐 연어 육포 100g,굿데이,"3,300원",대통령배송,"5
(3)",,https://dogpre.com/product/105466,https://img.funnc.com/mobile/dogpre/product/106/105466_list_L1_01521415.jpg,"굿데이
굿데이 더네이쳐 연어 육포 100g
3,300원
대통령배송
5
(3)"
굿데이 더네이쳐 소고기 육포 100g,굿데이,"3,000원",대통령배송,"5
(3)",,https://dogpre.com/product/105464,https://img.funnc.com/mobile/dogpre/product/106/105464_list_L1_01141464.jpg,"1일 남음
굿데이
굿데이 더네이쳐 소고기 육포 100g
4,000원
25% 3,000원
대통령배송
5
(3)"
